Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
Turn_on_schizo_addon_title;Turn on the Schizo mod?;;;;;;;;;;;;;x,,,,,,,,
Turn_on_schizo_addon_desc;Let the FUN begain!;;;;;;;;;;;;;x,,,,,,,,
Turn_off_schzio_addon_title;Turn off the Schizo mod?;;;;;;;;;;;;;x,,,,,,,,;;;;
Turn_off_schzio_addon_desc;Time to take them meds!;;;;;;;;;;;;;x,,,,,,,,
Burgundian_question_title;The Burgundian Question;;;;;;;;;;;;;x,,,,,,,,
Burgundian_question_desc;Now that we've destroyed the §RTRAITORS!§ What shall we do with them?;;;;;;;;;;;;;x,,,,,,,,
Greater_greater_germany_title;Expand Pan-Germanism;;;;;;;;;;;;;x,,,,,,,,
Greater_greater_germany_desc;Now that Germany has reached its logical conclusion, we should look outward;;;;;;;;;;;;;x,,,,,,,,
The_Scandinavian_acceptence_title;Accept the Scandinavians;;;;;;;;;;;;;x,,,,,,,,
The_Scandinavian_acceptence_desc;We have successfully conquered all of Scandinavia! Let us teach them that they are GERMAN!;;;;;;;;;;;;;x,,,,,,,,
The_English_acceptence_title;Accept the English;;;;;;;;;;;;;x,,,,,,,,
The_English_acceptence_desc;We have successfully conquered all of England! Let us teach them that they are GERMAN!;;;;;;;;;;;;;x,,,,,,,,
Beornians_are_Germanic_title;Beornia is GERMANIC!;;;;;;;;;;;;;x,,,,,,,,
Beornians_are_Germanic_desc;The Beornians are descendants from Englishmen, thus they are GERMANIC!;;;;;;;;;;;;;x,,,,,,,,
The_Beornian_acceptence_title;Accept the Beornians;;;;;;;;;;;;;x,,,,,,,,
The_Beornian_acceptence_desc;We have successfully conquered all of Beornia! Let us teach them that they are GERMAN!;;;;;;;;;;;;;x,,,,,,,,
Batavia_is_german_title;Batavia is GERMANIC!;;;;;;;;;;;;;x,,,,,,,,
Batavia_is_german_desc;The Batavians are descendants from Dutchmen, thus they are GERMANIC!;;;;;;;;;;;;;x,,,,,,,,
The_Boer_acceptence_title;Accept the Batavians;;;;;;;;;;;;;x,,,,,,,,
The_Boer_acceptence_desc;We have successfully conquered all of Batavia! Let us teach them that they are GERMAN!;;;;;;;;;;;;;x,,,,,,,,
claim_the_caribbean_title;Claim the Caribbean;;;;;;;;;;;;;x,,,,,,,,
claim_the_caribbean_desc;The Caribbean has long since beeen influenced by Germanic cultures, it is just up top us to REMIND THEM!;;;;;;;;;;;;;x,,,,,,,,
The_Caribbean_Accepted_title;Accept the Germanic Caribbeaners;;;;;;;;;;;;;x,,,,,,,,
The_Caribbean_Accepted_desc;While the Caribbean is mix of multiple cultures and ethnicities, however, there are a few tht descend from Germanic heritage. Let us accept them into our empire;;;;;;;;;;;;;x,,,,,,,,
Baltic_claims_title;Claim Livonia;;;;;;;;;;;;;x,,,,,,,,
Baltic_claims_desc;It's time to save the Balters in Livonia!;;;;;;;;;;;;;x,,,,,,,,
Finish_what_the_teutons_started_title;Let us finsih what the Teutonic Order started;;;;;;;;;;;;;x,,,,,,,,
Finish_what_the_teutons_started_desc;PUT DOWN THE PAGANS!;;;;;;;;;;;;;x,,,,,,,,
Italy_expension_title;Reclaim our lost Italian lands;;;;;;;;;;;;;x,,,,,,,,
Italy_expension_desc;We have lost our Italian lands due to (checks notes... IDK I didn't read the lore doc) It's time to reclaim our rightful lands!;;;;;;;;;;;;;x,,,,,,,,
North_italian_acceptence_title;The Northern Italian acceptence;;;;;;;;;;;;;x,,,,,,,,
North_italian_acceptence_desc;Now that we have conquered North Italy, we must remind the people there of their past in the Holy Roman Empire;;;;;;;;;;;;;x,,,,,,,,
Claim_rome_title;Claim the Papal States;;;;;;;;;;;;;x,,,,,,,,
Claim_rome_desc;Now that we have conquered Northern Italy, let us march on Rome!;;;;;;;;;;;;;x,,,,,,,,
Central_italian_acceptence_title;Accept the Central Italians;;;;;;;;;;;;;x,,,,,,,,
Central_italian_acceptence_desc;Now that we have conquered the Papal states, we must accept them;;;;;;;;;;;;;x,,,,,,,,
Roman_expension_title;Claim the §RROMAN EMPIRE;;;;;;;;;;;;;x,,,,,,,,
Roman_expension_desc;Let us claim our spot us the §RROMAN EMPEROR!;;;;;;;;;;;;;x,,,,,,,,
Imperial_acceptence_title;Imperial Acceptatio;;;;;;;;;;;;;x,,,,,,,,
Imperial_acceptence_desc;By Imperial Decree, all subjects shall be granted citizenship (Except the Africans, Arabs, Iranians, Kurds...);;;;;;;;;;;;;x,,,,,,,,
Sail_down_the_danube_title;Claim the Danube!;;;;;;;;;;;;;x,,,,,,,,
Sail_down_the_danube_desc;While we hold the title of 'Danubian confederation', we don't control the entire river. So! Lets us sail down the Danube!;;;;;;;;;;;;;x,,,,,,,,
Hungarian_question_title;The Hungarian Question;;;;;;;;;;;;;x,,,,,,,,
Hungarian_question_desc;We have conquered the Pannonian Basin, now we must decside what to do with the people within it;;;;;;;;;;;;;x,,,,,,,,
Sail_to_the_black_sea_title;Sail to the Black Sea;;;;;;;;;;;;;x,,,,,,,,
Sail_to_the_black_sea_desc;Now that we have conquered up to the Pannonian Basin, let ues SAIL TO THE BALCK SEA!;;;;;;;;;;;;;x,,,,,,,,
Romanian_question_title;The Romanian Question;;;;;;;;;;;;;x,,,,,,,,
Romanian_question_desc;We have conquered the Romanians surrounding the Danube, now what should we do with them?;;;;;;;;;;;;;x,,,,,,,,
Master_of_the_balkans_title;Claim the Balkans!;;;;;;;;;;;;;x,,,,,,,,
Master_of_the_balkans_desc;While we full control over the Danube, we do not possess control over the Adriatic Sea. Let us change that by claiming the Balkans!;;;;;;;;;;;;;x,,,,,,,,
A_fighting_chance_title;A Fighting Chance!;;;;;;;;;;;;;x,,,,,,,,
A_fighting_chance_desc;Help from a Schizo man;;;;;;;;;;;;;x,,,,,,,,
The_baltic_native_question_title;The Baltic Question;;;;;;;;;;;;;x,,,,,,,,
The_baltic_native_question_desc;What shall we do with the Natives?;;;;;;;;;;;;;x,,,,,,,,
Remove_SCA_cores_title;Revoke Scandinavian Claims;;;;;;;;;;;;;x,,,,,,,,
Remove_SCA_cores_desc;GET BENT SCANDI!;;;;;;;;;;;;;x,,,,,,,,
Claim_lithuania_title;Claim Lithuania;;;;;;;;;;;;;x,,,,,,,,
Claim_lithuania_desc;Funny Decision that would be removed later;;;;;;;;;;;;;x,,,,,,,,
The_lithuanian_question_title;The Lithuanian Question;;;;;;;;;;;;;x,,,,,,,,
The_lithuanian_question_desc;What shall we do with the lithuanians;;;;;;;;;;;;;x,,,,,,,,
Baltic_identity_title;Our national identity;;;;;;;;;;;;;x,,,,,,,,
Baltic_identity_desc;Now that we've full control of the Batics, what shall we aim for?;;;;;;;;;;;;;x,,,,,,,,
Claim_belarus_title;Claim Belarus;;;;;;;;;;;;;x,,,,,,,,
Claim_belarus_desc;We must destroy our neighbour! They don't believe in the same type of christianity!;;;;;;;;;;;;;x,,,,,,,,
Claim_pskov_title;Claim Pskov;;;;;;;;;;;;;x,,,,,,,,
Claim_pskov_desc;We must control the baltic sea, thus Pskov must be ours!;;;;;;;;;;;;;x,,,,,,,,
The_blarusian_question_title;The Belarusian Question;;;;;;;;;;;;;x,,,,,,,,
The_blarusian_question_desc;What shall we do with the Belarusians?;;;;;;;;;;;;;x,,,,,,,,
Pskov_genocide_title;§RPskov genocide§;;;;;;;;;;;;;x,,,,,,,,
Pskov_genocide_desc;§RThere's no questions to be answered, they must be exterminated!§;;;;;;;;;;;;;x,,,,,,,,
The_final_solution_title;§RThe final solution§;;;;;;;;;;;;;x,,,,,,,,
The_final_solution_desc;... May god save thier souls...;;;;;;;;;;;;;x,,,,,,,,
Pommerania_Holstein_claims_title;Claim the Germanic coast;;;;;;;;;;;;;x,,,,,,,,
Pommerania_Holstein_claims_desc;In order to place ourselves in the Germanic world, we must first prove ourselves!;;;;;;;;;;;;;x,,,,,,,,
claim_Elbian_leadership_title;Claim Leadership of the Elbians;;;;;;;;;;;;;x,,,,,,,,
claim_Elbian_leadership_desc;Now that we have proven ourselves, it's time to pursue leadership over our Elbian brothers!;;;;;;;;;;;;;x,,,,,,,,
Low_german_union_proclamation_title;Proclaim The Low German Union;;;;;;;;;;;;;x,,,,,,,,
Low_german_union_proclamation_desc;With our leadership over the Elbians, we are now free to expand our interest in Germany;;;;;;;;;;;;;x,,,,,,,,
From_LGC_title;From the Low German Union;;;;;;;;;;;;;x,,,,,,,,
