Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
RUV;The Russian Revolt;;;;;;;;;;;;;x,,,,,,,,
RUV_ADJ;Russian;;;;;;;;;;;;;x,,,,,,,,
RUV_absolute_monarchy;The Russian Revolt;;;;;;;;;;;;;x,,,,,,,,
RUV_prussian_constitutionalism;The Russian Revolt;;;;;;;;;;;;;x,,,,,,,,
RUV_hms_government;The Russian Revolt;;;;;;;;;;;;;x,,,,,,,,
RUV_democracy;The Russian Revolt;;;;;;;;;;;;;x,,,,,,,, 
RUV_parliamentary_republic;The Russian Revolt;;;;;;;;;;;;;x,,,,,,,,
RUV_presidential_dictatorship;The Russian Revolt;;;;;;;;;;;;;x,,,,,,,,
RUV_bourgeois_dictatorship;The Russian Revolt;;;;;;;;;;;;;x,,,,,,,,
RUV_proletarian_dictatorship;The Russian council Revolt;;;;;;;;;;;;;x,,,,,,,,
RUV_socialist_republic;The Russian socialist Revolt;;;;;;;;;;;;;x,,,,,,,,
RUV_fascist_monarchy;The Russian Revolt;;;;;;;;;;;;;x,,,,,,,,
RUV_fascist_dictatorship;The Russian Revolt;;;;;;;;;;;;;x,,,,,,,,
TEU;Teutonic Order;;;;;;;;;;;;;x,,,,,,,,
TEU_ADJ;Teuton;;;;;;;;;;;;;x,,,,,,,,
TEU_absolute_monarchy;Teutonic Order;;;;;;;;;;;;;x,,,,,,,,
TEU_prussian_constitutionalism;Teutonic Order;;;;;;;;;;;;;x,,,,,,,,
TEU_hms_government;Teutonic Order;;;;;;;;;;;;;x,,,,,,,,
TEU_democracy;Teutonic Republic;;;;;;;;;;;;;x,,,,,,,, 
TEU_parliamentary_republic;Teutonic Republic;;;;;;;;;;;;;x,,,,,,,,
TEU_presidential_dictatorship;Teutonic Order;;;;;;;;;;;;;x,,,,,,,,
TEU_bourgeois_dictatorship;Teutonic Order;;;;;;;;;;;;;x,,,,,,,,
TEU_proletarian_dictatorship;Teutonic Council Republic;;;;;;;;;;;;;x,,,,,,,,
TEU_socialist_republic;Teutonic Socialist Republic;;;;;;;;;;;;;x,,,,,,,,
TEU_fascist_monarchy;Teutonic Order;;;;;;;;;;;;;x,,,,,,,,
TEU_fascist_dictatorship;Teutonic Order;;;;;;;;;;;;;x,,,,,,,,
LGC;The Low German Confederation;;;;;;;;;;;;;x,,,,,,,,
LGC_ADJ;Low German;;;;;;;;;;;;;x,,,,,,,,
LGC_absolute_monarchy;The Low German Confederation;;;;;;;;;;;;;x,,,,,,,,
LGC_prussian_constitutionalism;The Low German Confederation;;;;;;;;;;;;;x,,,,,,,,
LGC_hms_government;The Low German Confederation;;;;;;;;;;;;;x,,,,,,,,
LGC_democracy;The Low German Republic;;;;;;;;;;;;;x,,,,,,,, 
LGC_parliamentary_republic;The Low German Republic;;;;;;;;;;;;;x,,,,,,,,
LGC_presidential_dictatorship;The Low German Confederation;;;;;;;;;;;;;x,,,,,,,,
LGC_bourgeois_dictatorship;The Low German Confederation;;;;;;;;;;;;;x,,,,,,,,
LGC_proletarian_dictatorship;The Low German Council Republic;;;;;;;;;;;;;x,,,,,,,,
LGC_socialist_republic;The Low German Socialist Republic;;;;;;;;;;;;;x,,,,,,,,
LGC_fascist_monarchy;The Low German Confederation;;;;;;;;;;;;;x,,,,,,,,
LGC_fascist_dictatorship;The Low German Confederation;;;;;;;;;;;;;x,,,,,,,,
FOG;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,,
FOG_ADJ;Franco-Occitan;;;;;;;;;;;;;x,,,,,,,,
FOG_absolute_monarchy;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,,
FOG_prussian_constitutionalism;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,,
FOG_hms_government;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,,
FOG_democracy;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,, 
FOG_parliamentary_republic;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,,
FOG_presidential_dictatorship;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,,
FOG_bourgeois_dictatorship;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,,
FOG_proletarian_dictatorship;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,,
FOG_socialist_republic;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,,
FOG_fascist_monarchy;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,,
FOG_fascist_dictatorship;The Franco-Occitan Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
IBG_ADJ;Iberian;;;;;;;;;;;;;x,,,,,,,,
IBG_absolute_monarchy;Iberian Commissariat;;;;;;;;;;;;;x,,,,,,,,
