CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
RUV_reactionary;Soyuz Russkikh Liudey;;;;;;;;;;;;;x
RUV_conservative;Partiya Pravovogo Poriadka;;;;;;;;;;;;;x
RUV_fascist;Partiya Evraziyskikh Sotsialistov;;;;;;;;;;;;;x
RUV_liberal;Progressivnaya Partiya;;;;;;;;;;;;;x
RUV_anarcho_liberal;Liberaly-Revolutsionery;;;;;;;;;;;;;x
RUV_social_liberal;Khristianskiy Rabochiy Soyuz;;;;;;;;;;;;;x
RUV_socialist;Promethey - Umerennye;;;;;;;;;;;;;x
RUV_communist_1;Promethey - Radicaly;;;;;;;;;;;;;x
RUV_communist_2;Promethey - Internationalist;;;;;;;;;;;;;x
RUV_market_liberal;Partiya Konstitutsii;;;;;;;;;;;;;x
RUV_paternal_1;Boyare;;;;;;;;;;;;;x
RUV_paternal_2;Russkoye Narodnoye Edinstvo;;;;;;;;;;;;;x
AFU_conservative_1;Consiglio Nazionale Furtista;;;;;;;;;;;;;x
AFU_anarcho_liberal;Partito Nazionale Futurista;;;;;;;;;;;;;x
